"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"AKAP10",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AKAP11",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AKAP13",7,8,4,5,1,0.879735034647026,-0.184859027684698,4.82163733276644e-17
"AKAP2;PALM2-AKAP2",5,1,3,1,0.123160627939643,5.05507106684412,2.33773137443549,0.909528105494506
"AKAP5",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AKAP8",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AKAP8L",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AKAP9",7,8,4,4,1,0.879735034647026,-0.184859027684698,4.82163733276644e-17
"AKIRIN1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AKIRIN2",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AKNA",5,3,4,3,0.505372888261834,1.68158600410633,0.749822566866094,0.296388060386242
"AKR1A1",2,3,2,3,1,0.670371393191425,-0.576967508769896,0
"AKR1B1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AKR7A2",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AKT2",1,3,1,3,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"AKTIP",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"ALAD",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALAS1",2,2,1,1,1,1.00660973632977,0.00950445733523746,0
"ALCAM",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ALDH16A1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ALDH18A1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALDH9A1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALDOA",8,9,6,4,1,0.893696024728004,-0.16214388785296,0
"ALDOC",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"ALG1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALG11",1,2,1,1,1,0.502863467225993,-0.991761348721336,0
"ALG13",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALG14",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALG2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALG5",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALG6",6,0,5,0,0.015167465816471,Inf,Inf,1.81908697516979
"ALG8",3,3,3,2,1,1.00661849212498,0.0095170062774283,0
"ALG9",1,2,1,1,1,0.502863467225993,-0.991761348721336,0
"ALKBH3",2,0,1,0,0.24819457420672,Inf,Inf,0.605207716865645
"ALKBH4",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALKBH6",2,2,2,2,1,1.00660973632977,0.00950445733523746,0
"ALMS1",1,3,1,2,0.624514217510396,0.334852778355426,-1.57840115639391,0.204457670154495
"ALOX5",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALOX5AP",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ALPK2",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"ALS2",2,2,2,2,1,1.00660973632977,0.00950445733523746,0
"AMBRA1",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"AMD1",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"AMN1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AMOTL2",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"AMY2B",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"AMZ2",4,0,3,0,0.0614372099500796,Inf,Inf,1.2115685151575
"ANAPC11",2,1,2,1,0.623522181096949,2.01496731931745,1.01075643992397,0.205148092375235
"ANAPC15",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"ANAPC2",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
