"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"VAPA",8,9,6,5,1,1.73456920800836,0.794577404221031,4.82163733276644e-17
"VAPB",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"VARS",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"VARS2",1,2,1,1,1,1,0,0
"VAT1",1,0,1,0,1,Inf,Inf,0
"VAV1",9,10,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"VAV3",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"VCAN",1,0,1,0,1,Inf,Inf,0
"VCL",2,2,2,2,1,1,0,4.82163733276644e-17
"VCP",25,28,6,7,1,0.451603012346455,-1.1468729854753,0
"VCPIP1",7,6,3,4,1,0.619687542666112,-0.690387128214864,0
"VCPKMT",2,2,2,2,1,1,0,4.82163733276644e-17
"VDAC1",2,3,1,1,1,1,0,0
"VDAC2",4,7,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"VDAC3",6,8,3,6,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"VDR",1,0,1,0,1,Inf,Inf,0
"VEGFB",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"VEZF1",8,9,4,7,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"VEZT",2,4,2,2,1,1,0,4.82163733276644e-17
"VGLL4",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"VILL",6,5,5,4,1,1.61371647991769,0.690387128214865,0
"VIM",55,78,8,8,1,0,-Inf,0
"VIRMA",8,9,5,5,1,1,0,4.82163733276644e-17
"VKORC1",5,2,5,2,0.314685314685315,4.47368223454136,2.16146278546891,0.502123523689718
"VMAC",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"VMP1",5,14,3,7,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"VNN2",2,4,2,2,1,1,0,4.82163733276644e-17
"VOPP1",3,4,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"VPREB1;BMS1P20",1,0,1,0,1,Inf,Inf,0
"VPS11",12,9,5,4,1,1.61371647991769,0.690387128214865,0
"VPS13A",2,5,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"VPS13B",10,24,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"VPS13C",22,29,7,8,1,0,-Inf,0
"VPS13D",8,19,5,5,1,1,0,4.82163733276644e-17
"VPS16",4,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"VPS18",5,5,3,4,1,0.619687542666112,-0.690387128214864,0
"VPS25",1,1,1,1,1,1,0,0
"VPS26A",2,5,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"VPS26B",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"VPS26C",3,5,3,4,1,0.619687542666112,-0.690387128214864,0
"VPS28",14,11,4,4,1,1,0,0
"VPS29",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"VPS33A",8,6,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"VPS33B",2,4,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"VPS35",9,16,5,8,0.2,0,-Inf,0.698970004336019
"VPS35L",10,5,5,5,1,1,0,4.82163733276644e-17
"VPS37A",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"VPS37B",1,1,1,1,1,1,0,0
"VPS39",7,5,6,5,1,1.73456920800836,0.794577404221031,4.82163733276644e-17
"VPS41",5,7,3,4,1,0.619687542666112,-0.690387128214864,0
"VPS45",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"VPS4A",8,14,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"VPS4B",3,1,2,1,1,2.21433421093488,1.1468729854753,0
"VPS51",16,22,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"VPS52",4,8,3,3,1,1,0,4.82163733276644e-17
"VPS53",6,7,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"VPS54",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"VPS72",7,3,3,3,1,1,0,4.82163733276644e-17
"VPS8",2,4,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"VPS9D1",1,0,1,0,1,Inf,Inf,0
"VRK1",4,5,4,3,1,1.61371647991769,0.690387128214865,0
"VRK2",1,6,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"VRK3",2,4,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"VSIG1",5,5,3,3,1,1,0,4.82163733276644e-17
"VSIR",13,21,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"VTA1",6,9,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"VTI1A",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"VTI1B",5,3,3,3,1,1,0,4.82163733276644e-17
"VWA5A",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"VWA8",4,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"WAC",6,22,3,7,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"WAPL",11,41,6,8,0.466666666666667,0,-Inf,0.330993219041424
