"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ACOT8",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ACOX3",1,1,1,1,1,1,0,0
"ACP1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ACSF2",1,0,1,0,1,Inf,Inf,0
"ACSF3",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ACSL1",2,1,1,1,1,1,0,0
"ACSL5",2,3,2,2,1,1,0,4.82163733276644e-17
"ACTB",2,9,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ACTG1",14,23,7,8,1,0,-Inf,0
"ACTL6A",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ACTN4",7,7,3,6,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ACTR10",2,2,2,2,1,1,0,4.82163733276644e-17
"ACTR1B",2,1,1,1,1,1,0,0
"ACTR3",3,4,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"ACTR6",1,0,1,0,1,Inf,Inf,0
"ACVR2A",1,0,1,0,1,Inf,Inf,0
"ACYP1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ADA2",1,0,1,0,1,Inf,Inf,0
"ADAM10",7,8,6,4,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ADAM15",1,1,1,1,1,1,0,0
"ADAM8",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ADAR",3,8,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ADAT1",2,2,2,2,1,1,0,4.82163733276644e-17
"ADCY7",6,4,5,3,0.619269619269619,2.59867331003631,1.37777527805224,0.208120225508274
"ADD1",1,2,1,1,1,1,0,0
"ADD3",5,11,4,5,1,0.619687542666112,-0.690387128214864,0
"ADGRE5",4,7,3,4,1,0.619687542666112,-0.690387128214864,0
"ADH5",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ADI1",1,0,1,0,1,Inf,Inf,0
"ADIPOR1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ADNP",3,1,2,1,1,2.21433421093488,1.1468729854753,0
"ADNP2",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ADORA2A",1,1,1,1,1,1,0,0
"ADPGK",3,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ADPRM",1,0,1,0,1,Inf,Inf,0
"ADRM1",1,1,1,1,1,1,0,0
"ADSL",3,2,2,2,1,1,0,4.82163733276644e-17
"ADSS",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ADTRP",1,0,1,0,1,Inf,Inf,0
"AEBP2",1,1,1,1,1,1,0,0
"AFF1",2,5,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"AFF4",1,2,1,1,1,1,0,0
"AFG1L",1,1,1,1,1,1,0,0
"AFG3L2",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"AFTPH",1,5,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"AGA",1,0,1,0,1,Inf,Inf,0
"AGAP2",1,0,1,0,1,Inf,Inf,0
"AGAP3",1,0,1,0,1,Inf,Inf,0
"AGGF1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"AGO1",1,1,1,1,1,1,0,0
"AHCTF1",2,2,2,2,1,1,0,4.82163733276644e-17
"AHCY",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"AHNAK",25,23,7,8,1,0,-Inf,0
"AIFM1",1,0,1,0,1,Inf,Inf,0
"AIM2",1,1,1,1,1,1,0,0
"AIMP1",3,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AIMP2",1,1,1,1,1,1,0,0
"AIP",1,1,1,1,1,1,0,0
"AK1",1,1,1,1,1,1,0,0
"AK2",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AK3",1,1,1,1,1,1,0,0
"AKAP10",3,1,2,1,1,2.21433421093488,1.1468729854753,0
"AKAP13",8,4,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"AKAP7",1,0,1,0,1,Inf,Inf,0
"AKAP8",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"AKAP9",10,10,6,6,1,1,0,4.82163733276644e-17
"AKIRIN1",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"AKNA",6,12,4,4,1,1,0,0
"AKR1B1",1,0,1,0,1,Inf,Inf,0
"AKT1",1,0,1,0,1,Inf,Inf,0
"AKT2",1,0,1,0,1,Inf,Inf,0
"AKT3",1,1,1,1,1,1,0,0
"AKTIP",3,1,2,1,1,2.21433421093488,1.1468729854753,0
"ALAS1",1,1,1,1,1,1,0,0
"ALCAM",1,0,1,0,1,Inf,Inf,0
"ALDH18A1",1,1,1,1,1,1,0,0
"ALDH5A1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ALDOA",5,10,4,6,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ALG1",4,0,4,0,0.076923076923077,Inf,Inf,1.11394335230684
"ALG12",2,5,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ALG13",1,1,1,1,1,1,0,0
"ALG5",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ALG6",3,2,2,2,1,1,0,4.82163733276644e-17
"ALG8",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"ALG9",1,0,1,0,1,Inf,Inf,0
"ALKBH6",1,1,1,1,1,1,0,0
"ALKBH7",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ALKBH8",1,0,1,0,1,Inf,Inf,0
"ALMS1",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ALOX5",1,0,1,0,1,Inf,Inf,0
