"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ACSL5",2,2,2,2,1,1,0,4.82163733276644e-17
"ACTB",1,6,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ACTG1",9,22,6,7,1,0.451603012346455,-1.1468729854753,0
"ACTG2",1,0,1,0,1,Inf,Inf,0
"ACTN1",4,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"ACTN4",11,6,6,4,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ACTR10",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ACTR1A",2,2,2,2,1,1,0,4.82163733276644e-17
"ACTR1B",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ACTR2",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ACTR3",11,1,7,1,0.0101010101010101,31.6066054163625,4.98215419144073,1.99563519459755
"ACTR5",2,0,1,0,1,Inf,Inf,0
"ACTR6",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ACVR2A",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"ADA",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ADA2",1,0,1,0,1,Inf,Inf,0
"ADAM10",8,5,5,3,0.619269619269619,2.59867331003631,1.37777527805224,0.208120225508274
"ADAM15",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ADAM17",1,0,1,0,1,Inf,Inf,0
"ADAM8",5,5,3,4,1,0.619687542666112,-0.690387128214864,0
"ADAMTS15",1,0,1,0,1,Inf,Inf,0
"ADAMTS18",1,0,1,0,1,Inf,Inf,0
"ADAMTS9",1,0,1,0,1,Inf,Inf,0
"ADAMTSL1",1,0,1,0,1,Inf,Inf,0
"ADAR",2,5,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ADARB1",2,0,1,0,1,Inf,Inf,0
"ADAT1",1,1,1,1,1,1,0,0
