"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"EDF1",10,14,3,7,0.538049028016341,0.715399995229544,-0.483177986174455,0.269178148819083
"EDRF1",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"EEA1",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"EED",2,5,2,4,0.452061316994495,0.40126146282924,-1.31738548861956,0.34480265406855
"EEF1A1",73,89,8,8,0.212824295305938,0.807169108803411,-0.309057132817869,0.671978795949214
"EEF1AKMT2",3,8,3,7,0.22489100166246,0.375205643096829,-1.41424656872227,0.648027921205191
"EEF1B2",18,20,7,7,0.869805613116712,0.90371222497363,-0.146064655985098,0.0605777940289854
"EEF1D",34,46,8,8,0.206363796628858,0.732136868160855,-0.44981471883851,0.685366490685358
"EEF1E1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"EEF1G",69,101,8,8,0.0115548777690935,0.656583614646546,-0.606949347661712,1.93723464425575
"EEF2",128,200,8,8,1.2034172743081e-05,0.572156976828954,-0.805517076165614,4.91958375877187
"EEF2K",3,2,2,1,0.686063853576589,1.51150662577839,0.595987303118233,0.163635461603138
"EEF2KMT",1,2,1,2,1,0.502863467225993,-0.991761348721336,0
"EEFSEC",2,8,2,6,0.108237559256787,0.249885675601201,-2.00065989186778,0.965622009585421
"EEPD1",1,1,1,1,1,1.00660100367109,0.00949194144396454,0
"EFCAB14",5,6,4,5,1,0.837858382983901,-0.255221678447674,0
"EFCAB6",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"EFCAB7",2,0,2,0,0.24819457420672,Inf,Inf,0.605207716865645
"EFL1",8,4,4,3,0.263522738943235,2.02308422143967,1.01655638085722,0.579181904278786
"EFR3A",2,5,2,3,0.452061316994495,0.40126146282924,-1.31738548861956,0.34480265406855
"EFTUD2",8,7,5,4,0.802070121034262,1.15189203910205,0.204005506753401,0.0957876618317703
"EGLN2",13,13,7,7,1,1.00670734308679,0.00964434268748966,0
"EGR1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"EHBP1",2,3,2,3,1,0.670371393191425,-0.576967508769896,0
"EHBP1L1",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"EHD1",20,20,5,7,1,1.00677097168464,0.00973552485908036,0
"EHD3",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"EHD4",2,2,1,2,1,1.00660973632977,0.00950445733523746,0
"EHMT1",11,18,5,7,0.260393615994076,0.609673720537493,-0.713890733684408,0.584369667463799
"EHMT2",6,7,4,3,1,0.861787036813675,-0.214596697605561,4.82163733276644e-17
"EI24",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"EID1",24,25,6,8,1,0.965245084617714,-0.0510327924342456,0
"EID2B",1,0,1,0,0.498356344510191,Inf,Inf,0.302460008420945
"EIF1",20,21,7,7,1,0.95755721419811,-0.0625694040128333,-9.64327466553287e-17
"EIF2A",12,15,7,8,0.698564072136155,0.802262305613276,-0.31785408122965,0.15579375433286
"EIF2AK1",1,4,1,3,0.374190362517327,0.250875782283238,-1.99495488466713,0.426907402189948
