"Gene","HRGeneName","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ENSG00000250397","RP11",5,13,2,5,0.236427501654172,0.513519017051011,-0.961510390306566,0.626302006970306
"ENSG00000250404","AC090587",3,5,2,4,1,0.806511403226815,-0.310233163164878,0
"ENSG00000250410","RP11",3,0,3,0,0.0772455093034607,Inf,Inf,1.1121267590412
"ENSG00000250424","AQP1",2,1,1,1,0.578682861420733,2.69535536439055,1.43047549510973,0.237559379742247
"ENSG00000250427","CTD",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250432","RP11",1,2,1,1,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000250442","EIF3KP3",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000250443","AC128709",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250444","CCT5P1",5,2,3,2,0.143582607279048,3.38220828751672,1.75796550839205,0.8428981646913
"ENSG00000250456","AC006552",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250461","RP11",18,38,6,8,0.128448736991412,0.625751613579574,-0.67633798879757,0.891270161700141
"ENSG00000250462","LRRC37BP1",25,52,5,8,0.0745694331248647,0.630888257513549,-0.664543596188171,1.12743915839358
"ENSG00000250470","AP000351",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250471","GMPSP1",6,5,4,3,0.543486772567334,1.62075828827263,0.69666895062596,0.264811021349393
"ENSG00000250479","CHCHD10",2,15,2,6,0.0114347384768088,0.17669053642006,-2.50070332395919,1.94177376366568
"ENSG00000250486","FAM218A",1,3,1,3,0.640594573570663,0.447833842315552,-1.15896453968484,0.193416744533107
"ENSG00000250492","INTS6P1",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000250493","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250496","ABT1P1",2,3,2,2,1,0.896800059019217,-0.157141721798964,0
"ENSG00000250497","AC007126",1,3,1,3,0.640594573570663,0.447833842315552,-1.15896453968484,0.193416744533107
"ENSG00000250504","KRT18P51",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250506","CDK3",7,14,5,7,0.506043666784793,0.668945360566449,-0.580039718488591,0.295812006034832
"ENSG00000250508","RP11",2,1,2,1,0.578682861420733,2.69535536439055,1.43047549510973,0.237559379742247
"ENSG00000250517","LDHAL6CP",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250526","CCT6P2",4,4,2,4,0.729664769249684,1.34781200874662,0.430619285123319,0.136876622487679
"ENSG00000250536","ABHD17AP3",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250539","KRT8P33",8,16,4,8,0.409466842839197,0.668353095800225,-0.581317604502626,0.387781260094004
"ENSG00000250541","RP11",1,3,1,3,0.640594573570663,0.447833842315552,-1.15896453968484,0.193416744533107
"ENSG00000250548","RP11",14,28,5,8,0.267299693628867,0.664754525859969,-0.589106400444876,0.57300153901888
