"Gene","HRGeneName","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ENSG00000002933","TMEM176A",1,1,1,1,1,1,0,0
"ENSG00000003056","M6PR",82,162,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000003137","CYP26B1",1,0,1,0,1,Inf,Inf,0
"ENSG00000003147","ICA1",28,44,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000003249","DBNDD1",1,5,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000003393","ALS2",8,22,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ENSG00000003400","CASP10",26,48,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000003402","CFLAR",184,377,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000003436","TFPI",7,7,5,5,1,1,0,4.82163733276644e-17
"ENSG00000003509","NDUFAF7",12,42,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000003756","RBM5",104,184,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000003987","MTMR7",7,8,4,5,1,0.619687542666112,-0.690387128214864,0
"ENSG00000004059","ARF5",57,123,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004139","SARM1",16,40,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000004142","POLDIP2",25,49,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000004399","PLXND1",6,6,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ENSG00000004455","AK2",51,84,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004468","CD38",9,25,3,7,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ENSG00000004478","FKBP4",22,35,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004487","KDM1A",9,24,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004534","RBM6",184,320,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004660","CAMKK1",7,5,5,3,0.619269619269619,2.59867331003631,1.37777527805224,0.208120225508274
"ENSG00000004700","RECQL",48,95,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004766","CCDC132",18,28,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004777","ARHGAP33",14,46,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004779","NDUFAB1",32,86,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004799","PDK4",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ENSG00000004864","SLC25A13",18,26,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000004866","ST7",7,13,4,5,1,0.619687542666112,-0.690387128214864,0
"ENSG00000004897","CDC27",28,51,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000004961","HCCS",13,11,6,6,1,1,0,4.82163733276644e-17
"ENSG00000004975","DVL2",11,29,4,8,0.076923076923077,0,-Inf,1.11394335230684
"ENSG00000005007","UPF1",16,41,4,8,0.076923076923077,0,-Inf,1.11394335230684
"ENSG00000005020","SKAP2",13,29,4,8,0.076923076923077,0,-Inf,1.11394335230684
"ENSG00000005022","SLC25A5",105,160,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005059","CCDC109B",96,173,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005075","POLR2J",50,81,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005100","DHX33",6,21,3,8,0.0256410256410256,0,-Inf,1.5910646070265
"ENSG00000005102","MEOX1",15,25,4,5,1,0.619687542666112,-0.690387128214864,0
"ENSG00000005156","LIG3",16,46,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000005175","RPAP3",37,60,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005187","ACSM3",2,5,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ENSG00000005189","AC004381",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ENSG00000005194","CIAPIN1",22,25,4,7,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ENSG00000005206","SPPL2B",35,81,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005238","FAM214B",2,5,1,5,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ENSG00000005302","MSL3",82,147,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005339","CREBBP",76,168,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005379","BZRAP1",12,21,4,6,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ENSG00000005381","MPO",2,0,1,0,1,Inf,Inf,0
"ENSG00000005421","PON1",1,0,1,0,1,Inf,Inf,0
"ENSG00000005436","GCFC2",17,37,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005448","WDR54",22,33,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005469","CROT",10,12,6,7,1,0.451603012346455,-1.1468729854753,0
"ENSG00000005471","ABCB4",1,1,1,1,1,1,0,0
"ENSG00000005483","KMT2E",224,426,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005486","RHBDD2",53,101,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005513","SOX8",1,0,1,0,1,Inf,Inf,0
"ENSG00000005700","IBTK",34,68,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005801","ZNF195",27,43,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005810","MYCBP2",110,205,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005812","FBXL3",25,46,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005844","ITGAL",127,232,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005882","PDK2",22,39,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005884","ITGA3",5,6,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"ENSG00000005889","ZFX",121,195,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005893","LAMP2",32,84,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000005955","GGNBP2",93,171,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006007","GDE1",9,20,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000006015","C19orf60",68,150,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006016","CRLF1",2,7,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ENSG00000006025","OSBPL7",17,40,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000006062","MAP3K14",24,66,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006071","ABCC8",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"ENSG00000006075","CCL3",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000006114","SYNRG",69,159,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006125","AP2B1",65,144,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006194","ZNF263",20,59,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000006210","CX3CL1",1,1,1,1,1,1,0,0
"ENSG00000006282","SPATA20",17,19,6,7,1,0.451603012346455,-1.1468729854753,0
"ENSG00000006327","TNFRSF12A",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000006432","MAP3K9",5,13,3,6,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ENSG00000006451","RALA",43,83,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006453","BAIAP2L1",2,7,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ENSG00000006459","KDM7A",22,44,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006530","AGK",59,106,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006555","TTC22",17,23,4,7,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ENSG00000006576","PHTF2",57,153,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006607","FARP2",16,29,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000006625","GGCT",12,20,3,7,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ENSG00000006634","DBF4",25,55,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000006638","TBXA2R",1,0,1,0,1,Inf,Inf,0
"ENSG00000006652","IFRD1",39,86,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006695","COX10",25,52,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006712","PAF1",32,40,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000006715","VPS41",36,103,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006740","ARHGAP44",4,9,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"ENSG00000006744","ELAC2",35,79,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006747","SCIN",1,1,1,1,1,1,0,0
"ENSG00000006756","ARSD",1,4,1,2,1,0.451603012346455,-1.1468729854753,0
"ENSG00000006757","PNPLA4",7,6,4,5,1,0.619687542666112,-0.690387128214864,0
"ENSG00000006831","ADIPOR2",20,42,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000006837","CDKL3",6,16,4,7,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ENSG00000007038","PRSS21",3,5,3,4,1,0.619687542666112,-0.690387128214864,0
"ENSG00000007047","MARK4",7,18,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000007080","CCDC124",25,58,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000007129","CEACAM21",47,83,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000007168","PAFAH1B1",44,99,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000007171","NOS2",2,1,1,1,1,1,0,0
"ENSG00000007202","KIAA0100",24,69,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000007237","GAS7",3,3,1,2,1,0.451603012346455,-1.1468729854753,0
"ENSG00000007255","TRAPPC6A",37,95,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000007264","MATK",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"ENSG00000007312","CD79B",18,31,4,7,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ENSG00000007341","ST7L",22,34,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000007350","TKTL1",5,5,3,3,1,1,0,4.82163733276644e-17
"ENSG00000007372","PAX6",2,8,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ENSG00000007376","RPUSD1",15,33,4,8,0.076923076923077,0,-Inf,1.11394335230684
"ENSG00000007392","LUC7L",66,138,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000007402","CACNA2D2",11,29,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000007516","BAIAP3",3,5,3,4,1,0.619687542666112,-0.690387128214864,0
"ENSG00000007520","TSR3",2,13,2,6,0.131934731934732,0.131319339997226,-2.92884869074048,0.879640860996452
"ENSG00000007541","PIGQ",34,55,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000007545","CRAMP1L",8,17,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000007908","SELE",1,0,1,0,1,Inf,Inf,0
"ENSG00000007923","DNAJC11",19,47,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000007933","FMO3",1,1,1,1,1,1,0,0
"ENSG00000007944","MYLIP",10,37,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000007968","E2F2",14,22,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ENSG00000008018","PSMB1",106,186,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008083","JARID2",52,93,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008086","CDKL5",1,1,1,1,1,1,0,0
"ENSG00000008128","CDK11A",98,248,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008130","NADK",12,27,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000008226","DLEC1",34,83,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008256","CYTH3",2,6,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ENSG00000008277","ADAM22",5,9,3,6,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ENSG00000008282","SYPL1",40,71,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008283","CYB561",1,2,1,1,1,1,0,0
"ENSG00000008294","SPAG9",38,56,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008300","CELSR3",15,23,6,7,1,0.451603012346455,-1.1468729854753,0
"ENSG00000008311","AASS",16,23,4,6,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ENSG00000008323","PLEKHG6",2,5,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ENSG00000008324","SS18L2",27,73,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000008382","MPND",2,2,2,2,1,1,0,4.82163733276644e-17
"ENSG00000008394","MGST1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ENSG00000008405","CRY1",24,44,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000008513","ST3GAL1",46,128,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008516","MMP25",18,49,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008517","IL32",310,519,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008710","PKD1",45,87,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008838","MED24",14,31,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000008853","RHOBTB2",11,39,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000008869","HEATR5B",87,167,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008952","SEC62",91,139,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000008988","RPS20",219,367,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000009307","CSDE1",148,273,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000009335","UBE3C",24,45,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000009413","REV3L",67,129,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000009694","TENM1",19,40,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000009724","MASP2",17,9,4,5,1,0.619687542666112,-0.690387128214864,0
"ENSG00000009765","IYD",3,1,1,1,1,1,0,0
"ENSG00000009780","FAM76A",66,87,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000009790","TRAF3IP3",244,449,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000009830","POMT2",1,7,1,5,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ENSG00000009844","VTA1",45,77,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000009954","BAZ1B",52,76,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010017","RANBP9",52,92,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010030","ETV7",4,13,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"ENSG00000010072","SPRTN",22,36,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010165","METTL13",8,22,3,7,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ENSG00000010219","DYRK4",9,12,5,5,1,1,0,4.82163733276644e-17
"ENSG00000010244","ZNF207",116,252,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010256","UQCRC1",80,104,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010270","STARD3NL",12,27,3,7,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ENSG00000010278","CD9",1,10,1,5,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ENSG00000010292","NCAPD2",24,40,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010295","IFFO1",23,69,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010310","GIPR",5,11,4,6,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ENSG00000010318","PHF7",8,13,4,5,1,0.619687542666112,-0.690387128214864,0
"ENSG00000010319","SEMA3G",8,15,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"ENSG00000010322","NISCH",34,75,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000010327","STAB1",9,9,1,2,1,0.451603012346455,-1.1468729854753,0
"ENSG00000010361","FUZ",11,20,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000010404","IDS",99,206,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010438","PRSS3",1,1,1,1,1,1,0,0
"ENSG00000010539","ZNF200",9,22,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000010610","CD4",148,305,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010671","BTK",6,2,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"ENSG00000010704","HFE",1,4,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ENSG00000010803","SCMH1",17,35,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000010810","FYN",146,267,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010818","HIVEP2",91,218,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000010932","FMO1",6,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ENSG00000011007","TCEB3",22,48,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000011009","LYPLA2",48,69,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000011021","CLCN6",13,24,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000011028","MRC2",3,5,3,4,1,0.619687542666112,-0.690387128214864,0
"ENSG00000011052","NME2",5,3,5,3,0.619269619269619,2.59867331003631,1.37777527805224,0.208120225508274
"ENSG00000011105","TSPAN9",1,0,1,0,1,Inf,Inf,0
"ENSG00000011114","BTBD7",20,40,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000011132","APBA3",28,61,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000011143","MKS1",8,17,3,7,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ENSG00000011198","ABHD5",11,17,4,7,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"ENSG00000011243","AKAP8L",17,23,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000011258","MBTD1",20,48,4,8,0.076923076923077,0,-Inf,1.11394335230684
"ENSG00000011260","UTP18",26,75,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000011275","RNF216",78,142,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000011295","TTC19",132,239,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000011304","PTBP1",58,127,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000011347","SYT7",1,0,1,0,1,Inf,Inf,0
"ENSG00000011376","LARS2",5,25,1,8,0.0013986013986014,0,-Inf,2.85430604180108
"ENSG00000011405","PIK3C2A",15,40,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000011422","PLAUR",3,1,2,1,1,2.21433421093488,1.1468729854753,0
"ENSG00000011451","WIZ",11,12,4,5,1,0.619687542666112,-0.690387128214864,0
"ENSG00000011454","RABGAP1",22,47,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000011465","DCN",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ENSG00000011478","QPCTL",6,5,3,3,1,1,0,4.82163733276644e-17
"ENSG00000011485","PPP5C",22,62,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000011523","CEP68",54,81,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000011566","MAP4K3",6,13,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000011590","ZBTB32",6,15,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"ENSG00000011600","TYROBP",7,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"ENSG00000011638","TMEM159",40,78,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000012048","BRCA1",6,6,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ENSG00000012061","ERCC1",34,59,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000012124","CD22",5,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ENSG00000012171","SEMA3B",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000012174","MBTPS2",12,30,6,7,1,0.451603012346455,-1.1468729854753,0
"ENSG00000012211","PRICKLE3",63,123,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000012223","LTF",7,6,1,1,1,1,0,0
"ENSG00000012232","EXTL3",3,8,2,6,0.131934731934732,0.131319339997226,-2.92884869074048,0.879640860996452
"ENSG00000012660","ELOVL5",102,221,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000012779","ALOX5",6,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000012822","CALCOCO1",74,206,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000012963","UBR7",24,44,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000012983","MAP4K5",32,55,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013016","EHD3",7,16,3,7,0.118881118881119,0.102452395152118,-3.28697438253732,0.924887116086787
"ENSG00000013275","PSMC4",49,68,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013288","MAN2B2",46,107,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013293","SLC7A14",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ENSG00000013297","CLDN11",3,1,2,1,1,2.21433421093488,1.1468729854753,0
"ENSG00000013306","SLC25A39",44,78,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013364","MVP",84,198,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013374","NUB1",42,90,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013375","PGM3",15,25,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013392","RWDD2A",3,7,3,4,1,0.619687542666112,-0.690387128214864,0
"ENSG00000013441","CLK1",128,235,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013503","POLR3B",10,24,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000013523","ANGEL1",11,24,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013561","RNF14",18,24,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000013563","DNASE1L1",8,28,4,8,0.076923076923077,0,-Inf,1.11394335230684
"ENSG00000013573","DDX11",28,68,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000013583","HEBP1",11,31,4,8,0.076923076923077,0,-Inf,1.11394335230684
"ENSG00000013619","MAMLD1",4,0,3,0,0.2,Inf,Inf,0.698970004336019
"ENSG00000013725","CD6",61,175,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000013810","TACC3",52,100,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000014123","UFL1",34,73,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000014138","POLA2",9,20,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000014164","ZC3H3",28,58,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000014216","CAPN1",55,111,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000014641","MDH1",82,129,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000014824","SLC30A9",39,74,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000014914","MTMR11",2,5,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ENSG00000014919","COX15",25,36,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000015133","CCDC88C",100,210,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000015153","YAF2",39,58,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000015171","ZMYND11",18,38,5,8,0.2,0,-Inf,0.698970004336019
"ENSG00000015285","WAS",38,111,6,8,0.466666666666667,0,-Inf,0.330993219041424
"ENSG00000015475","BID",22,38,5,7,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ENSG00000015479","MATR3",155,303,6,8,0.466666666666667,0,-Inf,0.330993219041424
