"p_val","avg_logFC","pct.1","pct.2","p_val_adj","Feature","NegLogP"
0.00925079717745782,0.437540424716712,0.147,0.093,1,"ENSG00000198198-SZT2",2.03382084079032
0.00933852943904246,0.388059258696089,0.119,0.071,1,"ENSG00000204842-ATXN2",2.02972150779474
0.00962396309618079,0.429097000598162,0.225,0.167,1,"ENSG00000203879-GDI1",2.01664605100027
0.00994067910784253,-0.47653461675252,0.656,0.644,1,"ENSG00000163466-ARPC2",2.00258394530952
0.0100206707674469,0.255328966956696,0.19,0.13,1,"ENSG00000028528-SNX1",1.99910320652759
0.0107574036402401,0.27579367854096,0.124,0.074,1,"ENSG00000060971-ACAA1",1.96829253543359
0.0109124818294288,0.322350421747198,0.107,0.061,1,"ENSG00000139192-TAPBPL",1.96207646643738
0.0109987256572519,0.363238100244523,0.116,0.069,1,"ENSG00000101082-SLA2",1.95865763048576
0.0118159247898212,0.330382424643999,0.119,0.071,1,"ENSG00000131473-ACLY",1.92753228203849
0.012031260896844,0.449789219242107,0.127,0.079,1,"ENSG00000114650-SCAP",1.91968885546599
0.0121980972071205,0.261311075925875,0.165,0.111,1,"ENSG00000179820-MYADM",1.91370791005458
0.012329356027252,0.322957772997157,0.101,0.057,1,"ENSG00000178685-PARP10",1.90905960638193
0.0130109187078816,0.377322688107633,0.131,0.084,1,"ENSG00000166128-RAB8B",1.88569203659163
0.0132496478930209,0.298717697900002,0.127,0.079,1,"ENSG00000091009-RBM27",1.87779566287057
0.0132607424740407,0.271790479812513,0.119,0.071,1,"ENSG00000135018-UBQLN1",1.87743215893641
0.013277769222673,0.274869045163104,0.236,0.174,1,"ENSG00000047849-MAP4",1.8768748839788
0.0134380506918534,0.272167245929969,0.137,0.086,1,"ENSG00000224113-RP5-837J1.2",1.87166372497045
0.0138357839314777,0.253620127319952,0.127,0.079,1,"ENSG00000229474-PATL2",1.85899622882735
0.0141352966052204,0.385896939811884,0.114,0.069,1,"ENSG00000104774-MAN2B1",1.84969507414588
0.0143545422314435,0.301243624590201,0.17,0.115,1,"ENSG00000078618-NRD1",1.84301065266438
0.015046178615691,0.395099503681092,0.132,0.084,1,"ENSG00000214176-PLEKHM1P",1.82257378690414
0.0154011858628805,0.327710647076444,0.137,0.088,1,"ENSG00000069020-MAST4",1.81244583800268
0.0154199652479988,0.252022142106601,0.15,0.098,1,"ENSG00000169220-RGS14",1.81191660505415
0.0156483619909089,0.259294233232969,0.236,0.172,1,"ENSG00000196235-SUPT5H",1.80553111597954
0.0160070599933367,-0.32218936392026,0.408,0.317,1,"ENSG00000015479-MATR3",1.79568842735119
0.0164372852861129,0.323140587923623,0.109,0.064,1,"ENSG00000008226-DLEC1",1.78416990714961
0.017032612857212,0.294795413342353,0.107,0.064,1,"ENSG00000175166-PSMD2",1.76871872476625
0.0177525719948487,0.325108014773563,0.212,0.152,1,"ENSG00000167548-KMT2D",1.75073871741167
0.0186819656045225,0.359626487529962,0.102,0.061,1,"ENSG00000119844-AFTPH",1.72857743183783
0.0191353472996468,0.254125556847639,0.314,0.251,1,"ENSG00000136280-CCM2",1.71816365107986
0.0191626768487097,-0.272360804535404,0.147,0.096,1,"ENSG00000117868-ESYT2",1.71754382409768
0.0195358673639026,-0.282352812982894,0.152,0.098,1,"ENSG00000014216-CAPN1",1.70916730197212
0.019558401329273,0.252856044796642,0.139,0.091,1,"ENSG00000175155-YPEL2",1.70866664659594
0.0204418415958734,0.252822523262233,0.398,0.337,1,"ENSG00000170776-AKAP13",1.68947998138967
0.0211676768047696,0.324272625894911,0.126,0.081,1,"ENSG00000006652-IFRD1",1.67432680406061
0.0212353971345871,0.256945628873222,0.127,0.081,1,"ENSG00000132359-RAP1GAP2",1.67293961262258
0.0219777692727234,0.27030268233109,0.15,0.103,1,"ENSG00000023191-RNH1",1.65801639024333
0.0220926701861699,-0.325670931354258,0.858,0.73,1,"ENSG00000122026-RPL21",1.65575179082674
0.0233231229736842,0.367572655118667,0.155,0.108,1,"ENSG00000198218-QRICH1",1.63221329784826
0.0240025801484968,-0.313320974122986,0.754,0.607,1,"ENSG00000131051-RBM39",1.61974207145397
0.0245923472781967,0.294411381259184,0.134,0.088,1,"ENSG00000158850-B4GALT3",1.60920001695804
0.0248907560445896,0.254508832093504,0.16,0.113,1,"ENSG00000111801-BTN3A3",1.60396191170773
0.0249269211936527,-0.333647525238428,0.169,0.113,1,"ENSG00000198898-CAPZA2",1.60333135932934
0.0269996959047561,0.281251413271135,0.183,0.13,1,"ENSG00000161547-SRSF2",1.56864112723472
0.0274424228016265,0.280785941860398,0.124,0.081,1,"ENSG00000242802-AP5Z1",1.56157754883527
0.0283356611899712,-0.462089628850764,0.207,0.251,1,"ENSG00000186010-NDUFA13",1.54766664899017
0.0284136515438094,0.352422218300545,0.126,0.084,1,"ENSG00000197329-PELI1",1.54647294989477
0.0285123088592338,0.365538451930551,0.107,0.069,1,"ENSG00000170852-KBTBD2",1.54496761312812
0.0290922999870741,0.295271331996384,0.106,0.066,1,"ENSG00000181666-HKR1",1.53622194282275
0.030051264666998,0.295687953929805,0.195,0.145,1,"ENSG00000143515-ATP8B2",1.52213724657833
0.0306041271334614,-0.255479219548406,0.145,0.192,1,"ENSG00000144567-FAM134A",1.51422000258946
0.0310567548166278,-0.341758303135419,0.747,0.737,1,"ENSG00000130741-EIF2S3",1.50784392654894
0.0313827116990569,0.48843455357352,0.2,0.155,1,"ENSG00000145012-LPP",1.50330953286331
0.0320312991229308,0.255145696393579,0.136,0.091,1,"ENSG00000112640-PPP2R5D",1.49442544689726
0.0321948462092435,0.283338063425437,0.122,0.081,1,"ENSG00000188603-CLN3",1.49221364513736
0.0326603536387447,0.305716845056718,0.19,0.145,1,"ENSG00000131023-LATS1",1.48597911713383
0.0330155022616313,-0.429136187146247,0.088,0.128,1,"ENSG00000158122-AAED1",1.48128209146092
0.0346178682388473,0.284048117802978,0.104,0.066,1,"ENSG00000173846-PLK3",1.46069967940142
0.0371735940982307,-0.304999475774793,0.117,0.16,1,"ENSG00000184752-NDUFA12",1.42976544747114
0.0374461434614396,-0.568070140154383,0.815,0.769,1,"ENSG00000160654-CD3G",1.42659290318907
0.0376657611661742,-0.300533137330349,0.37,0.292,1,"ENSG00000204261-TAPSAR1",1.42405325172989
0.0377567266820959,0.288979194920554,0.15,0.108,1,"ENSG00000110429-FBXO3",1.42300566388466
0.0387630391965245,0.25911034648913,0.101,0.064,1,"ENSG00000092847-AGO1",1.41158217964668
