"p_val","avg_logFC","pct.1","pct.2","p_val_adj","Feature","NegLogP"
0.00835045463575879,0.335332113797812,0.375,0.285,1,"ENSG00000253729-PRKDC",2.07828987895636
0.00836209845204235,0.418940561602484,0.129,0.065,1,"ENSG00000100376-FAM118A",2.07768472354391
0.00856399025447211,0.328602300949093,0.11,0.053,1,"ENSG00000228315-GUSBP11",2.06732383558958
0.00858718829453462,-0.397648625837665,0.118,0.195,1,"ENSG00000144567-FAM134A",2.06614901405705
0.00859757322959568,-0.714423348793679,0.342,0.406,1,"ENSG00000168234-TTC39C",2.06562411639878
0.00860253173087735,0.347831537647803,0.18,0.105,1,"ENSG00000110514-MADD",2.06537371678672
0.00860598197098024,0.553740154296271,0.107,0.05,1,"ENSG00000164880-INTS1",2.06519956807359
0.0086169850370746,0.274648820761758,0.173,0.099,1,"ENSG00000068400-GRIPAP1",2.0646446611825
0.00862671206386274,0.344087189789559,0.504,0.406,1,"ENSG00000013441-CLK1",2.06415469728638
0.00891951830344569,0.324723557456508,0.199,0.121,1,"ENSG00000072864-NDE1",2.04965859896516
0.00908757445155038,0.261449385362188,0.371,0.269,1,"ENSG00000196187-TMEM63A",2.04155201808448
0.00912195429435912,0.295011774260038,0.118,0.059,1,"ENSG00000114120-SLC25A36",2.03991210812636
0.00938537683559434,-0.677389811422141,0.085,0.149,1,"ENSG00000271895-RP4-635E18.8",2.02754828518077
0.00942933388172732,0.255421761612381,0.235,0.155,1,"ENSG00000144381-HSPD1",2.02551898612886
0.0094878939408085,0.253921246156075,0.232,0.149,1,"ENSG00000181847-TIGIT",2.0228301786572
0.0095669933649056,0.383839763033784,0.32,0.229,1,"ENSG00000100385-IL2RB",2.01922452723795
0.00962383703266581,0.309687697283897,0.29,0.198,1,"ENSG00000125347-IRF1",2.01665173982586
0.00982572895211842,0.280078097140293,0.11,0.053,1,"ENSG00000151690-MFSD6",2.0076352202768
0.00983353982407496,0.312839327165675,0.188,0.111,1,"ENSG00000185101-ANO9",2.00729011906203
0.0100558234075937,-0.42972419528412,0.074,0.139,1,"ENSG00000166508-MCM7",1.99758236199085
0.0103937395532105,0.309090686929396,0.151,0.087,1,"ENSG00000197457-STMN3",1.98322816994732
0.010552946277571,0.408005941130226,0.118,0.059,1,"ENSG00000168538-TRAPPC11",1.97662627274017
0.0105554620259846,0.407316330593281,0.283,0.195,1,"ENSG00000197324-LRP10",1.97652275231899
0.0106335148469781,0.361620521125725,0.287,0.207,1,"ENSG00000234769-WASH4P",1.97332315821093
0.0106896518018763,0.376673745286433,0.158,0.09,1,"ENSG00000077454-LRCH4",1.97103644100138
0.0108407248423663,0.42547074995668,0.165,0.096,1,"ENSG00000100284-TOM1",1.96494167863567
0.0112315934940762,0.283514817888495,0.165,0.096,1,"ENSG00000141627-DYM",1.94955862338328
0.0112845788373265,0.300344240731525,0.232,0.152,1,"ENSG00000165272-AQP3",1.94751464500787
0.0116239597380699,0.293298789986728,0.125,0.065,1,"ENSG00000136937-NCBP1",1.934645902974
0.0116349272807216,0.316093333421885,0.165,0.096,1,"ENSG00000156515-HK1",1.93423632674597
0.0116757777528901,0.316021671202237,0.162,0.096,1,"ENSG00000178607-ERN1",1.93271418035172
0.0117231110549496,0.336105235140051,0.18,0.108,1,"ENSG00000091073-DTX2",1.93095712085174
0.0119163562958181,0.377397237657202,0.173,0.102,1,"ENSG00000171488-LRRC8C",1.92385651997576
0.0121658909566843,0.464416407689388,0.107,0.053,1,"ENSG00000133065-SLC41A1",1.91485608045262
0.012244672947225,0.281865461164695,0.14,0.077,1,"ENSG00000080189-SLC35C2",1.91205281030344
0.0128538811271032,0.409817081846097,0.228,0.149,1,"ENSG00000130723-PRRC2B",1.89096572076931
0.0130361530498186,-1.00060458340655,0.688,0.678,1,"ENSG00000213639-PPP1CB",1.88485054938045
0.0132010692473948,0.317139298875294,0.195,0.127,1,"ENSG00000102265-TIMP1",1.87939089080653
0.0132416013638605,0.253866478920173,0.151,0.087,1,"ENSG00000144579-CTDSP1",1.87805949061885
0.0134985964535577,0.298594296034495,0.188,0.115,1,"ENSG00000225783-MIAT",1.86971138588749
0.0141834240436379,-0.446913931926423,0.184,0.263,1,"ENSG00000119231-SENP5",1.8482189127532
0.0145543400379604,0.422455245756911,0.143,0.084,1,"ENSG00000120913-PDLIM2",1.83700748272742
0.0145626432887275,0.280796504051385,0.114,0.059,1,"ENSG00000197818-SLC9A8",1.83675978838029
0.0146029348188987,0.417001620718514,0.195,0.121,1,"ENSG00000186298-PPP1CC",1.8355598532864
0.014676421949562,0.381937948644003,0.327,0.238,1,"ENSG00000134294-SLC38A2",1.83337981069831
0.0149911881170991,-0.310785789325428,0.853,0.854,1,"ENSG00000137154-RPS6",1.82416394605418
